"RegistryPath","Name","Command"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run","Discord","""C:\Users\vini1\AppData\Local\Discord\Update.exe"" --processStart Discord.exe"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run","EADM","""C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EALauncher.exe"" -silent"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run","EpicGamesLauncher","""C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe"" -silent -launchcontext=boot"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run","RiotClient","C:\Riot Games\Riot Client\RiotClientServices.exe --launch-background-mode"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run","ut","""C:\Users\vini1\AppData\Roaming\utorrent\uTorrent.exe""  /MINIMIZED"
