"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"021","gerada-021-ig_0f7a907d66059f300169fd4c1bf6ec819a9515f13578a96e3b.png","1672","941","1,6","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-021-ig_0f7a907d66059f300169fd4c1bf6ec819a9515f13578a96e3b.png"
"022","gerada-022-ig_0f7a907d66059f300169fd4c6a7720819a91ab6e226080e663.png","1672","941","2,17","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-022-ig_0f7a907d66059f300169fd4c6a7720819a91ab6e226080e663.png"
"023","gerada-023-ig_0f7a907d66059f300169fd4caaac04819ab26d9d6c7059c567.png","1672","941","2,06","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-023-ig_0f7a907d66059f300169fd4caaac04819ab26d9d6c7059c567.png"
"024","gerada-024-ig_0f7a907d66059f300169fd4cf542ec819abe67e5e659714e61.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-024-ig_0f7a907d66059f300169fd4cf542ec819abe67e5e659714e61.png"
"025","gerada-025-ig_0f7a907d66059f300169fd4d3751c8819aab3bbce971aaae27.png","1672","941","1,72","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-025-ig_0f7a907d66059f300169fd4d3751c8819aab3bbce971aaae27.png"
"026","gerada-026-ig_0f7a907d66059f300169fd4d86d428819a91812c23e9503b22.png","1672","941","1,9","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-026-ig_0f7a907d66059f300169fd4d86d428819a91812c23e9503b22.png"
"027","gerada-027-ig_0f7a907d66059f300169fd4dd4fd4c819a952afb03bd5e5a49.png","1672","941","1,74","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-027-ig_0f7a907d66059f300169fd4dd4fd4c819a952afb03bd5e5a49.png"
"028","gerada-028-ig_0f7a907d66059f300169fd4e290070819a9e5c9a417e0d7019.png","1672","941","1,96","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-028-ig_0f7a907d66059f300169fd4e290070819a9e5c9a417e0d7019.png"
"029","gerada-029-ig_0f7a907d66059f300169fd50a03a2c819ab3c2ff2a5ba2a336.png","1672","941","1,96","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-029-ig_0f7a907d66059f300169fd50a03a2c819ab3c2ff2a5ba2a336.png"
"030","gerada-030-ig_0f7a907d66059f300169fd50e7899c819abe00ec070dd2414c.png","1672","941","2,02","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-030-ig_0f7a907d66059f300169fd50e7899c819abe00ec070dd2414c.png"
"031","gerada-031-ig_0f7a907d66059f300169fd513d5830819aba70fd0e5aec9ffb.png","1672","941","2,22","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-031-ig_0f7a907d66059f300169fd513d5830819aba70fd0e5aec9ffb.png"
"032","gerada-032-ig_0f7a907d66059f300169fd517d1e68819abf16ce00a6ec66a9.png","1672","941","1,88","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-032-ig_0f7a907d66059f300169fd517d1e68819abf16ce00a6ec66a9.png"
"033","gerada-033-ig_0f7a907d66059f300169fd51d48984819a985b73e2e2a1bbd1.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-033-ig_0f7a907d66059f300169fd51d48984819a985b73e2e2a1bbd1.png"
"034","gerada-034-ig_0f7a907d66059f300169fd523c8c00819ab8f3984e70a92380.png","1672","941","2,11","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-034-ig_0f7a907d66059f300169fd523c8c00819ab8f3984e70a92380.png"
"035","gerada-035-ig_0f7a907d66059f300169fd5294dc98819abc6280cd36e5439f.png","1672","941","1,84","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-035-ig_0f7a907d66059f300169fd5294dc98819abc6280cd36e5439f.png"
