"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"085","gerada-085-ig_0f7a907d66059f300169fd9c2db6e8819a82c565e928500737.png","1672","941","1,76","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-085-ig_0f7a907d66059f300169fd9c2db6e8819a82c565e928500737.png"
"086","gerada-086-ig_0f7a907d66059f300169fd9c8d2178819a89b3094328c9f7fd.png","1672","941","1,94","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-086-ig_0f7a907d66059f300169fd9c8d2178819a89b3094328c9f7fd.png"
"087","gerada-087-ig_0f7a907d66059f300169fd9cf6d14c819abe121a95bd385d3f.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-087-ig_0f7a907d66059f300169fd9cf6d14c819abe121a95bd385d3f.png"
"088","gerada-088-ig_0f7a907d66059f300169fd9d61abb8819aa4c8e619b0720150.png","1672","941","2,06","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-088-ig_0f7a907d66059f300169fd9d61abb8819aa4c8e619b0720150.png"
"089","gerada-089-ig_0f7a907d66059f300169fd9dc0736c819a84a423bfe0b56e5e.png","1672","941","2,25","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-089-ig_0f7a907d66059f300169fd9dc0736c819a84a423bfe0b56e5e.png"
"090","gerada-090-ig_0f7a907d66059f300169fd9eaa1e3c819a9ce5f5c72916402e.png","1672","941","1,89","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-090-ig_0f7a907d66059f300169fd9eaa1e3c819a9ce5f5c72916402e.png"
"091","gerada-091-ig_0f7a907d66059f300169fd9f050d68819aa574c84de9131134.png","1672","941","1,94","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-091-ig_0f7a907d66059f300169fd9f050d68819aa574c84de9131134.png"
"092","gerada-092-ig_0f7a907d66059f300169fd9f676a3c819a8d29959738f9c401.png","1672","941","1,76","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-092-ig_0f7a907d66059f300169fd9f676a3c819a8d29959738f9c401.png"
"093","gerada-093-ig_0f7a907d66059f300169fd9fc8a678819abc53d8e8149f1f56.png","1672","941","2,27","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-093-ig_0f7a907d66059f300169fd9fc8a678819abc53d8e8149f1f56.png"
"094","gerada-094-ig_0f7a907d66059f300169fda04e1448819a9649916a8a1b8f0f.png","1672","941","1,86","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-094-ig_0f7a907d66059f300169fda04e1448819a9649916a8a1b8f0f.png"
"095","gerada-095-ig_0f7a907d66059f300169fda0b597b4819a95b2b3db2863783a.png","1672","941","1,67","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-095-ig_0f7a907d66059f300169fda0b597b4819a95b2b3db2863783a.png"
"096","gerada-096-ig_0f7a907d66059f300169fda121eb74819ab28b32a37d8ac611.png","1672","941","2,34","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-096-ig_0f7a907d66059f300169fda121eb74819ab28b32a37d8ac611.png"
"097","gerada-097-ig_0f7a907d66059f300169fe0ce30a60819aa348660f8df78e93.png","1672","941","1,74","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-097-ig_0f7a907d66059f300169fe0ce30a60819aa348660f8df78e93.png"
"098","gerada-098-ig_0f7a907d66059f300169fe13c3e0d0819a9ce9f52edd49d333.png","1672","941","2,1","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-098-ig_0f7a907d66059f300169fe13c3e0d0819a9ce9f52edd49d333.png"
"099","gerada-099-ig_0f7a907d66059f300169fe14397990819a8b7f88a2e131bc06.png","1672","941","1,83","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-099-ig_0f7a907d66059f300169fe14397990819a8b7f88a2e131bc06.png"
"100","gerada-100-ig_0f7a907d66059f300169fe16e0df30819a86c7c018757e7f20.png","1672","941","2,14","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-100-ig_0f7a907d66059f300169fe16e0df30819a86c7c018757e7f20.png"
"101","gerada-101-ig_0f7a907d66059f300169fe1740a050819a8766421cadb8e7ca.png","1672","941","2,04","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-101-ig_0f7a907d66059f300169fe1740a050819a8766421cadb8e7ca.png"
"102","gerada-102-ig_0f7a907d66059f300169fe178fc070819ab161a267e491888b.png","1672","941","1,99","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-102-ig_0f7a907d66059f300169fe178fc070819ab161a267e491888b.png"
"103","gerada-103-ig_0f7a907d66059f300169fe19f9e020819a8827b42386f30533.png","1672","941","1,94","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-103-ig_0f7a907d66059f300169fe19f9e020819a8827b42386f30533.png"
"104","gerada-104-ig_0f7a907d66059f300169fe1a5c1d5c819abe4d718f5da0661e.png","1672","941","1,98","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-104-ig_0f7a907d66059f300169fe1a5c1d5c819abe4d718f5da0661e.png"
"105","gerada-105-ig_0f7a907d66059f300169fe1ab764ac819a8459b39f40e0ccb3.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-105-ig_0f7a907d66059f300169fe1ab764ac819a8459b39f40e0ccb3.png"
"106","gerada-106-ig_0f7a907d66059f300169fe1b165f7c819a9b1c178b6a3ec607.png","1672","941","2,01","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-106-ig_0f7a907d66059f300169fe1b165f7c819a9b1c178b6a3ec607.png"
"107","gerada-107-ig_0f7a907d66059f300169fe1b711de8819aa9728e32f1062ac1.png","1672","941","1,83","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-107-ig_0f7a907d66059f300169fe1b711de8819aa9728e32f1062ac1.png"
"108","gerada-108-ig_0f7a907d66059f300169fe1bddee60819ab1526c1387dc38d2.png","1672","941","1,85","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-108-ig_0f7a907d66059f300169fe1bddee60819ab1526c1387dc38d2.png"
"109","gerada-109-ig_0f7a907d66059f300169fe2fb02940819a808179146cb5e3ad.png","1672","941","1,96","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-109-ig_0f7a907d66059f300169fe2fb02940819a808179146cb5e3ad.png"
